oldName,newName
Speaking Truth To Power PJ.docx,Speaking Truth To Power (2026-02-07).docx
Presidency No Limits PJ.docx,A Presidency With No Limits (2026-01-17).docx
China and Electricity PJ.docx,China Has The Edge On Electricity (2026-01-10).docx
For Old Times Sake PJ.docx,For Old Times’ Sake (2026-01-03).docx
Lake Freezes Early PJ.docx,The Lake Freezes Before Christmas (2025-12-27).docx
Actions Louder Than Words PJ.docx,Actions Speak Louder Than Words (2025-12-20).docx
Reality of AI (PJ).docx,Facing The Reality Of AI (2025-12-06).docx
Thanksgiving and Deer Season PJ.docx,"Thanksgiving, Deer Season Go Hand In Hand (2025-11-29).docx"
Drone Warfare PJ.docx,The Changing Face Of Warfare (2025-11-22).docx
Mamdani vs. Musk PJ.docx,Zohran Mamdani vs. Elon Musk (2025-11-15).docx
Winter Is On The Way PJ.docx,Winter Is On The Way! (2025-11-08).docx
New Era of Big Government PJ.docx,The New Era Of Big Government (2025-11-01).docx
Middle East Trump and the Nobel Prize PJ.docx,"The Middle East, Donald Trump And The Nobel Prize (2025-10-18).docx"
Downsizing is Difficult PJ.docx,The Difficult Decision To Downsize (2025-10-04).docx
Cycles in National Politics.docx,The Cycles of Our National Politics (2025-09-27).docx
Another Lesson from the World of Sport (PJ).docx,Another Lesson From The World of Sport (2025-09-20).docx
War Department Not A Good Idea PJ.docx,War Department Not A Good Idea (2025-09-13).docx
The Weather PJ.docx,Staying Interested In The Weather (2025-09-06).docx
Western New York and Canada PJ.docx,Standing In Solidarity With Canada (2025-08-16).docx
Why Neatness Matters PJ.docx,Why Neatness Matters (2025-08-09).docx
Uncertainty of Tariffs PJ.docx,The Downside Uncertainty Of Tariffs (2025-08-02).docx
Lessons from the World of Sport PJ.docx,Lessons From The World Of Sport (2025-07-26).docx
When Things Look The Same PJ.docx,When Things Look The Same (2025-07-12).docx
Separation of Church and State PJ.docx,The Separation Of Church And State (2025-07-05).docx
Esprit De Corps  PJ.docx,The Importance Of Esprit De Corps (2025-06-14).docx
A Government of One PJ.docx,Are We A Government Of One- (2025-05-31).docx
Thanks For Your Time PJ.docx,Let Me Thank You For Your Time (2025-05-24).docx
Welcoming a New Pope PJ.docx,Welcoming A New Pope (2025-05-17).docx
Having the Last Word PJ.docx,Having The Last Word (2025-05-03).docx
School Musical PJ.docx,The Great American School Musical (2025-04-19).docx
Going It Alone PJ.docx,Can The U.S. Go It Alone- (2025-04-12).docx
World Through a Windshield PJ.docx,The World Through A Windshield (2025-04-05).docx
Schumer Defense PJ.docx,In Defense of Chuck Schumer (2025-03-29).docx
Bullying In The White House PJ.docx,Bullying In The White House (2025-03-08).docx
Change in Republican Party PJ.docx,What Happened To The Grand Old Party- (2025-02-22).docx
Super Bowl Champion PJ.docx,Congratulations To A Super Bowl Champion! (2025-02-15).docx
Getting Old Is Bipartisan PJ.docx,Getting Old Is Bipartisan (2025-02-08).docx
Remembering an Old Friend.docx,Remembering an Old Friend (2025-01-22).docx
Hulk Hogan PJ.docx,Will Hulk Hogan Be In The Administration- (2025-01-11).docx
Jimmy Carter Rembrance PJ.docx,Jimmy Carter- A Life Well-Lived (2025-01-04).docx
Truth Speaks To Power.docx,Speaking Truth To Power (2025-01-01).docx
House of Representatives Acts PJ.docx,The House Of Representatives Acts (2024-12-28).docx
In Defense of the Blue Flame PJ.docx,In Defense Of The Blue Flame (2024-12-21).docx
On Being a Lucky Man PJ.docx,On Being A Lucky Man (2024-12-14).docx
Appreciating the Snow Plow Guy PJ.docx,Appreciating The Snowplow Guy (2024-12-07).docx
Be Concerned But Calm Down PJ.docx,Be Concerned But Calm Down (2024-11-30).docx
Why People Settle Here PJ.docx,Why People Settle Here (2024-11-16).docx
Election Over PJ.docx,"At Last, The Election Is Over (2024-11-09).docx"
Decline of the Mainline Churches PJ.docx,Decline Of The Mainline Churches (2024-11-02).docx
Land of Many Colors PJ.docx,A Land of Many Colors (2024-10-26).docx
Going All-Electric Slows Down PJ.docx,Going All-Electric Is Slowing Down (2024-10-19).docx
Parade Like No Other PJ.docx,A Parade Like No Other (2024-10-14).docx
Being On Trump's Mailing List PJ.docx,Being On Trump’s Mailing List (2024-10-05).docx
Bridge Boat Ride PJ.docx,A Boat Ride Under the Bridge (2024-09-21).docx
Contest is Now Joined PJ.docx,The Contest Is Now Joined (2024-09-14).docx
Homelessness PJ.docx,No Easy Answer For Homelessness (2024-08-31).docx
Assessing Risk PJ.docx,Assessing Risk Then Acting On It (2024-08-24).docx
Shoe Is On The Other Foot PJ.docx,The Shoe Is On The Other Foot (2024-08-17).docx
"Bridge and the Lake, Happenings.docx",The Bridge and Lake—Current Happenings (2023-08-01).docx
Canaries In A Coal Mine.docx,Canaries In A Coal Mine—The Trigger That Ended World War II (1945-08-15).docx
Wrecking Ball at the White House.docx,Wrecking Ball At The White House (0001-01-01).docx
Chickens Come Home to Roost.docx,When The Chickens Come Home to Roost (0001-01-01).docx
Renaming the Defense Department.docx,War Department Not a Good Idea (0001-01-01).docx
Two Guys From Queens.docx,Two Guys From Queens (0001-01-01).docx
Quiet Election.docx,"Thus Far, A Quiet Election (0001-01-01).docx"
Trump the Middle East and the Nobel Prize (1).docx,"The Middle East, Donald Trump and the Nobel Prize (0001-01-01).docx"
Lineman on the line.docx,The Lineman Is Still On the Line (0001-01-01).docx
Importance of Esprit De Corps.docx,The Importance of Esprit De Corps (0001-01-01).docx
New Bills Stadium.docx,The Impact of the New Bills Stadium (0001-01-01).docx
Ice Fishing Again.docx,The Ice Fishermen Are Back! (0001-01-01).docx
American School Musical.docx,The Great American School Musical (0001-01-01).docx
Neighborhood Renewal Challenge.docx,The Challenge of Neighborhood Renewal (0001-01-01).docx
Deer Season Again PJ.docx,Thanksgiving and Deer Season (0001-01-01).docx
Tariffs.docx,Tariffs Are A Hidden Pre-Sales Tax (0001-01-01).docx
Sewers To Be Completed.docx,Sewers Around Lake To Be Completed (0001-01-01).docx
Dunkirk Power Plant.docx,Resurrecting the Dunkirk Power Plant (0001-01-01).docx
Bridge Ongoing Developments.docx,Ongoing Developments at the Bridge (0001-01-01).docx
Sewer Construction Starting.docx,On the Lake—Phase II Sewer Construction Gearing Up (0001-01-01).docx
Let Me Thank You For Your Time.docx,Let Me Thank You For Your Time (0001-01-01).docx
Blue Flame Defense.docx,In Defense of the Blue Flame (0001-01-01).docx
Happenings on the Lake.docx,Happenings On The Lake (0001-01-01).docx
Bridge Progress.docx,Good Progress Being Made On The Bridge (0001-01-01).docx
Challenges of Local Government.docx,Facing the Challenges of Local Government (0001-01-01).docx
Southern Tier Congressional District.docx,Expanding the Southern Tier (0001-01-01).docx
Comparing Trump and Lincoln.docx,Comparing the Cabinets of Trump and Lincoln (0001-01-01).docx
Bridge Update March 2025.docx,Chautauqua Lake Bridge Update (0001-01-01).docx
Chautauqua lake bridge update.docx,Chautauqua Lake Bridge Update (0001-01-01).docx
Bridge Reconstruction Ramps Up.docx,Bridge Reconstruction Ramps Up (0001-01-01).docx
Barrier Breaking Down.docx,Breaking Down The Barrier (0001-01-01).docx
Back to the 50's.docx,Back to the 50’s- (0001-01-01).docx
Awaiting Election Results.docx,Awaiting the Decision of the Electorate (0001-01-01).docx
Only a Government of One.docx,Are We a Government of One- (0001-01-01).docx
Snowplow Guy.docx,Appreciating the Snowplow Guy (0001-01-01).docx
Beautiful Day On The Expressway.docx,A Beautiful Day On The Expressway (0001-01-01).docx
Barbecue in the Backyard.docx,A Barbecue In The Backyard (0001-01-01).docx
