old_filename,new_filename,date
A Barbecue In The Backyard (0001-01-01).docx,A Barbecue In The Backyard (2025-08-21).docx,2025-08-21
A Beautiful Day On The Expressway (0001-01-01).docx,A Beautiful Day On The Expressway (2025-01-01).docx,2025-01-01
Appreciating the Snowplow Guy (0001-01-01).docx,Appreciating the Snowplow Guy (2024-12-07).docx,2024-12-07
Are We a Government of One- (0001-01-01).docx,Are We a Government of One- (2025-05-31).docx,2025-05-31
Awaiting the Decision of the Electorate (0001-01-01).docx,Awaiting the Decision of the Electorate (2024-11-05).docx,2024-11-05
Back to the 50’s- (0001-01-01).docx,Back to the 50’s- (2025-11-02).docx,2025-11-02
Breaking Down The Barrier (0001-01-01).docx,Breaking Down The Barrier (2024-09-05).docx,2024-09-05
Bridge Reconstruction Ramps Up (0001-01-01).docx,Bridge Reconstruction Ramps Up (2025-05-26).docx,2025-05-26
Chautauqua Lake Bridge Update (0001-01-01).docx,Chautauqua Lake Bridge Update (2025-01-01).docx,2025-01-01
Comparing the Cabinets of Trump and Lincoln (0001-01-01).docx,Comparing the Cabinets of Trump and Lincoln (2024-11-24).docx,2024-11-24
Expanding the Southern Tier (0001-01-01).docx,Expanding the Southern Tier (2025-01-01).docx,2025-01-01
Facing the Challenges of Local Government (0001-01-01).docx,Facing the Challenges of Local Government (2026-01-22).docx,2026-01-22
Good Progress Being Made On The Bridge (0001-01-01).docx,Good Progress Being Made On The Bridge (2025-10-24).docx,2025-10-24
Happenings On The Lake (0001-01-01).docx,Happenings On The Lake (2025-07-15).docx,2025-07-15
In Defense of the Blue Flame (0001-01-01).docx,In Defense of the Blue Flame (2024-12-20).docx,2024-12-20
Let Me Thank You For Your Time (0001-01-01).docx,Let Me Thank You For Your Time (2025-05-21).docx,2025-05-21
On the Lake—Phase II Sewer Construction Gearing Up (0001-01-01).docx,On the Lake—Phase II Sewer Construction Gearing Up (2024-09-09).docx,2024-09-09
Ongoing Developments at the Bridge (0001-01-01).docx,Ongoing Developments at the Bridge (2025-08-23).docx,2025-08-23
Resurrecting the Dunkirk Power Plant (0001-01-01).docx,Resurrecting the Dunkirk Power Plant (2026-02-15).docx,2026-02-15
Sewers Around Lake To Be Completed (0001-01-01).docx,Sewers Around Lake To Be Completed (2026-02-14).docx,2026-02-14
Tariffs Are A Hidden Pre-Sales Tax (0001-01-01).docx,Tariffs Are A Hidden Pre-Sales Tax (2025-07-20).docx,2025-07-20
Thanksgiving and Deer Season (0001-01-01).docx,Thanksgiving and Deer Season (2025-11-28).docx,2025-11-28
The Challenge of Neighborhood Renewal (0001-01-01).docx,The Challenge of Neighborhood Renewal (2025-01-21).docx,2025-01-21
The Great American School Musical (0001-01-01).docx,The Great American School Musical (2025-04-20).docx,2025-04-20
The Ice Fishermen Are Back! (0001-01-01).docx,The Ice Fishermen Are Back! (2025-01-18).docx,2025-01-18
The Impact of the New Bills Stadium (0001-01-01).docx,The Impact of the New Bills Stadium (2025-06-03).docx,2025-06-03
The Importance of Esprit De Corps (0001-01-01).docx,The Importance of Esprit De Corps (2025-06-14).docx,2025-06-14
The Lineman Is Still On the Line (0001-01-01).docx,The Lineman Is Still On the Line (2026-01-30).docx,2026-01-30
"The Middle East, Donald Trump and the Nobel Prize (0001-01-01).docx","The Middle East, Donald Trump and the Nobel Prize (2025-10-21).docx",2025-10-21
"Thus Far, A Quiet Election (0001-01-01).docx","Thus Far, A Quiet Election (2025-10-08).docx",2025-10-08
Two Guys From Queens (0001-01-01).docx,Two Guys From Queens (2025-06-21).docx,2025-06-21
War Department Not a Good Idea (0001-01-01).docx,War Department Not a Good Idea (2025-09-09).docx,2025-09-09
When The Chickens Come Home to Roost (0001-01-01).docx,When The Chickens Come Home to Roost (2025-03-04).docx,2025-03-04
Wrecking Ball At The White House (0001-01-01).docx,Wrecking Ball At The White House (2025-10-27).docx,2025-10-27
